DOMAIN,CDN,CNAME,IP
fuck.www.goodrx.com,No,Null,"['35.165.241.123', '52.41.147.80', '52.42.54.135']"
555.www.goodrx.com,No,Null,"['35.165.241.123', '52.41.147.80', '52.42.54.135']"
chef.www.goodrx.com,No,Null,"['35.165.241.123', '52.41.147.80', '52.42.54.135']"
ha5.www.goodrx.com,No,Null,"['35.165.241.123', '52.41.147.80', '52.42.54.135']"
proteus.www.goodrx.com,No,Null,"['35.165.241.123', '52.41.147.80', '52.42.54.135']"
988.www.goodrx.com,No,Null,"['35.165.241.123', '52.41.147.80', '52.42.54.135']"
d3.www.goodrx.com,No,Null,"['35.165.241.123', '52.41.147.80', '52.42.54.135']"
eee.www.goodrx.com,No,Null,"['35.165.241.123', '52.41.147.80', '52.42.54.135']"
sbs.www.goodrx.com,No,Null,"['35.165.241.123', '52.41.147.80', '52.42.54.135']"
