IP,frequency,active
13.225.224.0/24,12,"['13.225.224.16', '13.225.224.7', '13.225.224.80', '13.225.224.88', '13.225.224.11', '13.225.224.14', '13.225.224.37', '13.225.224.87', '13.225.224.116', '13.225.224.117', '13.225.224.40']"
13.55.41.0/24,1,['13.55.41.93']
52.64.134.0/24,1,['52.64.134.99']
3.24.157.0/24,1,['3.24.157.143']
3.105.54.0/24,1,['3.105.54.120']
3.104.188.0/24,1,['3.104.188.128']
