DOMAIN,CDN,CNAME,IP
login.seek.com,No,Null,"['13.225.224.16', '13.225.224.7', '13.225.224.80', '13.225.224.88']"
info.seek.com,Yes,['info.seek.com.d1.sc.omtrdc.net.'],"['34.234.106.101', '52.22.231.198', '54.157.65.136']"
auth.seek.com,No,Null,"['3.104.188.128', '3.105.54.120', '3.24.157.143']"
partner.seek.com,No,Null,"['13.225.224.11', '13.225.224.14', '13.225.224.37', '13.225.224.87']"
www.seek.com,No,Null,"['13.55.41.93', '52.64.134.99']"
developer.seek.com,No,Null,"['13.225.224.116', '13.225.224.117', '13.225.224.16', '13.225.224.40']"
secure.info.seek.com,Yes,['info.seek.com.ssl.d1.sc.omtrdc.net.'],"['34.234.106.101', '52.22.231.198', '54.157.65.136']"
