IP,frequency,active
23.253.147.0/24,3,['23.253.147.230']
159.65.169.0/24,1,['159.65.169.112']
66.33.196.0/24,1,['66.33.196.19']
23.92.19.0/24,1,['23.92.19.167']
64.207.186.0/24,1,['64.207.186.128']
69.18.170.0/24,1,['69.18.170.136']
