IP,frequency,active
35.165.241.0/24,31,['35.165.241.123']
52.42.54.0/24,31,['52.42.54.135']
52.41.147.0/24,31,['52.41.147.80']
35.164.239.0/24,1,['35.164.239.141']
64.125.33.0/24,1,['64.125.33.4']
216.239.32.0/24,1,['216.239.32.21']
34.217.245.0/24,1,['34.217.245.20']
52.24.228.0/24,1,['52.24.228.164']
50.18.159.0/24,1,['50.18.159.131']
216.239.36.0/24,1,['216.239.36.21']
216.239.38.0/24,1,['216.239.38.21']
216.239.34.0/24,1,['216.239.34.21']
