IP,frequency,active
64.30.228.0/24,7,['64.30.228.101']
141.206.159.0/24,6,"['141.206.159.247', '141.206.159.248', '141.206.159.249', '141.206.159.246']"
216.239.120.0/24,3,"['216.239.120.225', '216.239.120.212']"
72.32.124.0/24,2,['72.32.124.226']
74.7.7.0/24,1,['74.7.7.203']
75.131.181.0/24,1,['75.131.181.206']
