IP,frequency,active
198.61.143.0/24,7,"['198.61.143.206', '198.61.143.207']"
108.166.19.0/24,3,"['108.166.19.70', '108.166.19.11', '108.166.19.106']"
70.32.185.0/24,3,['70.32.185.34']
206.170.79.0/24,2,"['206.170.79.37', '206.170.79.30']"
91.230.179.0/24,2,['91.230.179.11']
70.32.190.0/24,2,"['70.32.190.65', '70.32.190.66']"
204.154.142.0/24,1,['204.154.142.175']
67.72.99.0/24,1,['67.72.99.85']
50.56.48.0/24,1,['50.56.48.68']
216.27.63.0/24,1,['216.27.63.21']
