IP,frequency,active
69.25.174.0/24,18,"['69.25.174.10', '69.25.174.109', '69.25.174.26', '69.25.174.30', '69.25.174.238']"
13.225.190.0/24,12,"['13.225.190.118', '13.225.190.55', '13.225.190.66', '13.225.190.70', '13.225.190.100', '13.225.190.82', '13.225.190.83', '13.225.190.93', '13.225.190.115', '13.225.190.21', '13.225.190.65', '13.225.190.90']"
65.197.201.0/24,10,"['65.197.201.146', '65.197.201.157', '65.197.201.147']"
63.87.74.0/24,7,"['63.87.74.46', '63.87.74.114', '63.87.74.94', '63.87.74.47']"
64.93.83.0/24,2,['64.93.83.101']
198.246.207.0/24,1,['198.246.207.34']
63.90.86.0/24,1,['63.90.86.52']
162.246.78.0/24,1,['162.246.78.89']
207.138.36.0/24,1,['207.138.36.3']
