IP,frequency,active
104.17.90.0/24,26,['104.17.90.51']
104.17.91.0/24,26,['104.17.91.51']
18.214.94.0/24,2,['18.214.94.47']
184.23.146.0/24,2,"['184.23.146.130', '184.23.146.137']"
192.28.150.0/24,2,"['192.28.150.50', '192.28.150.51']"
52.37.107.0/24,1,['52.37.107.41']
35.168.161.0/24,1,['35.168.161.108']
74.205.54.0/24,1,['74.205.54.93']
12.130.188.0/24,1,['12.130.188.115']
54.193.30.0/24,1,['54.193.30.74']
