IP,frequency,active
99.84.167.0/24,4,"['99.84.167.115', '99.84.167.45', '99.84.167.68', '99.84.167.96']"
13.249.93.0/24,4,"['13.249.93.104', '13.249.93.12', '13.249.93.46', '13.249.93.74']"
99.84.251.0/24,4,"['99.84.251.111', '99.84.251.13', '99.84.251.72', '99.84.251.89']"
44.239.13.0/24,1,['44.239.13.85']
192.243.228.0/24,1,['192.243.228.1']
44.229.80.0/24,1,['44.229.80.154']
50.112.222.0/24,1,['50.112.222.125']
