DOMAIN,CDN,CNAME,IP
email.dicktowel.com,No,['email.secureserver.net.'],"['173.201.192.133', '173.201.192.148', '173.201.192.20', '173.201.192.5', '173.201.193.133', '173.201.193.148', '173.201.193.20', '173.201.193.5', '45.40.130.40', '45.40.130.41', '45.40.140.6', '68.178.252.133', '68.178.252.148', '68.178.252.20', '68.178.252.5', '72.167.218.173', '72.167.218.183', '72.167.218.45', '72.167.218.55', '97.74.135.133', '97.74.135.148', '97.74.135.45', '97.74.135.55']"
ftp.dicktowel.com,No,['dicktowel.com.'],"['204.93.213.45', '23.227.38.32']"
www.dicktowel.com,No,"['dick-towels.myshopify.com.', 'shops.myshopify.com.']",['23.227.38.64']
