IP,frequency,active
13.225.223.0/24,5,['13.225.223.248']
69.46.43.0/24,2,['69.46.43.66']
174.127.206.0/24,2,['174.127.206.130']
104.16.231.0/24,1,['104.16.231.14']
34.215.192.0/24,1,['34.215.192.14']
104.16.230.0/24,1,['104.16.230.14']
199.30.133.0/24,1,['199.30.133.170']
104.16.229.0/24,1,['104.16.229.14']
104.16.228.0/24,1,['104.16.228.14']
104.16.227.0/24,1,['104.16.227.14']
